case,value_type,mode,P1_bar,P2_bar,P3_bar,phi,purge_p,r_CH4,h_H2_to_CFR,converged,iterations,method,S1_inlet_CH4_kmol_d,S1_inlet_CH4_ratio_vs_fresh,S1_X_CH4,S2_inlet_total_kmol_d,recycle_to_S2_total_kmol_d,S2_X_CO2_per_pass,S2_xi2_CH4_formed_kmol_d,S3_CH4_formed_kmol_d,S3_COx_conversion,C_stage1_tpd,C_stage3_tpd,C_total_tpd,C_from_CO2_total_tpd,fresh_CO2_carbon_fixed_fraction,C_from_CO2_total_tpd_mixing_tracer_upper,purge_carbon_tpd,purge_carbon_as_CO2_if_oxidised_tpd,H2_net_exportable_tpd,water_total_tpd,Q1_kW,Q2_kW,Q3_kW,Q_total_kW,closure_C_rel,closure_H_rel,closure_O_rel,W_S1out_to_S2_kW,n_st_S1out,W_freshCO2_kW,W_solarH2_kW,W_freshCH4_to_S1_kW,W_compression_total_kW,W_compression_excl_solarH2_kW,W_compression_share_of_5MW,pressure_order_n,variant,factor_meth_at_P2,factor_rwgs_at_P2,wall_s
"kin recycle (1,5,5) n=0.5 V2 phi=1",kinetic,kinetic,1.0,5.0,5.0,1.0,0.05,0.95,0.35,True,349,direct,3517.688201691745,1.175713996244597,0.8730911863828242,28567.63291946727,19774.331905895146,0.18990635876457407,72.03557102014508,8.651380734916756,0.0004948760576697353,36.8889346722976,0.0,36.8889346722976,0.9662187062196489,0.08429241259405175,3.9439775708815876,10.51018502132762,38.509926950595904,12.82957617512335,15.62161420659197,3208.0983153558004,133.9213071385193,-21.919143755408392,3320.1004787389115,-4.190979088696633e-08,2.96036831516752e-10,-1.0192646392459892e-07,478.39019175041665,2,67.51500202902557,90.94006166111424,0.0,636.8452554405565,545.9051937794422,0.12736905108811128,0.5,V2,0.0007592061830132707,0.09122626874768583,130.17064476013184
"kin once-through (1,5,5) n=1 V1 phi=0",kinetic,kinetic,1.0,5.0,5.0,0.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8055242606889389,0.0,16.621355063833903,0.017416409881055195,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.023349349319187,58.71048051903989,11.401254416891534,14.10756766355394,2728.6383640944473,313.8140109366329,-41.90773955713131,3000.544635473949,-5.761678948777892e-16,7.543585709488794e-16,-1.7868728718895002e-15,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,1.0,V1,0.0016865003370155063,1.0,0.42227673530578613
"kin recycle (1,5,5) n=1 V1 phi=0",kinetic,kinetic,1.0,5.0,5.0,0.0,0.05,0.95,0.35,True,292,direct,3538.344412815896,1.1826179044751128,0.8730911863828241,27171.58445225871,18339.59247168587,0.26816021969115167,0.0,98.77606644856269,0.008420869827498123,37.10555012513097,0.477845235194641,37.58339536032561,1.6606793981931849,0.14487679871840473,4.440777267277823,9.81572440574445,35.9653830132718,12.605470639668834,17.61644200544398,3226.9365842157736,342.7822090387217,-312.48062957633124,3257.238163678164,-4.038139054269118e-08,1.0947767059966954e-10,-9.583269065484502e-08,481.19934601137925,2,67.51500202902557,90.94006166111424,0.0,639.6544097015191,548.7143480404048,0.1279308819403038,1.0,V1,0.0016865003370155063,1.0,108.48075604438782
"kin once-through (1,5,5) n=1 V1 phi=0.1",kinetic,kinetic,1.0,5.0,5.0,0.1,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8055623882579459,23.697434691810486,15.990626572549616,0.017182161133523777,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.02334934931919,58.7104805190399,11.261697863443484,14.523063310159829,2728.6383640944473,252.25802165456665,-40.314288236516674,2940.582097512497,-4.6093431590223135e-16,-6.286321424573996e-16,3.5737457437790004e-16,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,1.0,V1,0.0016865003370155063,1.0,0.4149458408355713
"kin recycle (1,5,5) n=1 V1 phi=0.1",kinetic,kinetic,1.0,5.0,5.0,0.1,0.05,0.95,0.35,True,297,direct,3550.712431193017,1.186751656950616,0.8730911863828239,27010.265144607656,18155.106737819602,0.26854489541883964,10.27555304071592,99.33146850525151,0.008469921972614314,37.23524980167424,0.461515866702575,37.69676566837682,1.7740497049773403,0.15476716475442706,4.5218795320875875,9.702354150828208,35.5499878298059,12.585846580417458,17.790642751495774,3238.2160998081054,316.16426125670256,-311.7648819378662,3242.615479126942,-3.9260378696708525e-08,1.4691447485300656e-10,-9.321504578737935e-08,482.8813423520897,2,67.51500202902557,90.94006166111424,0.0,641.3364060422294,550.3963443811152,0.12826728120844588,1.0,V1,0.0016865003370155063,1.0,110.37711691856384
"kin once-through (1,5,5) n=1 V1 phi=1",kinetic,kinetic,1.0,5.0,5.0,1.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8110207457762659,199.83289562002687,11.601761570133363,0.015376401292802933,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.02334934931917,58.710480519039834,10.212671827215054,17.705017522443626,2728.6383640944473,-203.25192990204246,-29.233105617837552,2496.1533285745672,-9.218686318044627e-16,-1.0058114279318392e-15,-2.0251225881414334e-15,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,1.0,V1,0.0016865003370155063,1.0,0.4132871627807617
"kin recycle (1,5,5) n=1 V1 phi=1",kinetic,kinetic,1.0,5.0,5.0,1.0,0.05,0.95,0.35,True,95,wegstein,3698.019354067636,1.2359859270272309,0.8730911863828243,25107.537155868507,15976.45945015083,0.2769094269149647,131.88781069507348,106.71924503845491,0.009122271318694808,38.78001305047091,0.2542634773312632,39.03427652780218,3.11156062782286,0.2714509153709422,5.4787011353042745,8.364844036703634,30.649273267112665,12.350575573530898,19.879220614349375,3372.558617967344,1.8885670243298567,-303.53770255182906,3070.909482439845,-2.3536442257823053e-08,-1.4907690655984576e-09,-4.836024677856207e-08,502.91443881762115,2,67.51500202902557,90.94006166111424,0.0,661.3695025077609,570.4294408466467,0.1322739005015522,1.0,V1,0.0016865003370155063,1.0,33.71427822113037
"kin once-through (1,5,5) n=1 V2 phi=0",kinetic,kinetic,1.0,5.0,5.0,0.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.7035442015776173,0.0,3.3472909276472365,0.003507403010351906,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.023349349319208,58.71048051903997,11.677286805533317,12.135339734696966,2728.6383640944473,274.08488923654943,-8.159792443655862,2994.5634608873406,-1.1523357897555784e-16,-1.382990713406279e-15,-7.147491487558001e-16,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,1.0,V2,0.0016865003370155063,0.20265,0.4060800075531006
"kin recycle (1,5,5) n=1 V2 phi=0",kinetic,kinetic,1.0,5.0,5.0,0.0,0.05,0.95,0.35,True,299,direct,3450.264816078723,1.1531791342573114,0.8730911863828248,29537.624538124513,20870.61367390024,0.23253496052846634,0.0,21.642759511664167,0.0011588672015139245,36.181885973078636,0.0,36.181885973078636,0.2591700215727321,0.022609856598503692,3.438172728123516,11.217233589233224,41.10059387466198,12.883624747554089,15.144530288785687,3146.6088264077166,334.3827852068922,-54.84449664837873,3426.1471149662298,-4.468016630021352e-08,1.82330981126914e-11,-1.0510883447699371e-07,469.2209065487419,2,67.51500202902557,90.94006166111424,0.0,627.6759702388816,536.7359085777674,0.12553519404777633,1.0,V2,0.0016865003370155063,0.20265,108.88881492614746
"kin once-through (1,5,5) n=1 V2 phi=0.1",kinetic,kinetic,1.0,5.0,5.0,0.1,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.7197139763966611,52.53726267729337,3.0928922496211726,0.0034296381899178163,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.0233493493192,58.71048051903995,11.330123002969774,13.351084433142141,2728.6383640944473,143.88157876940056,-7.548667465138965,2864.971275398709,-2.3046715795111567e-16,-1.0058114279318392e-15,1.1912485812596666e-16,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,1.0,V2,0.0016865003370155063,0.20265,0.40930819511413574
"kin recycle (1,5,5) n=1 V2 phi=0.1",kinetic,kinetic,1.0,5.0,5.0,0.1,0.05,0.95,0.35,True,305,direct,3462.337283580568,1.1572141050100635,0.8730911863828241,29354.82016116605,20665.196464466157,0.23385364635888206,10.772195478757226,21.442698450906335,0.0011613154452791985,36.30848629677849,0.0,36.30848629677849,0.38577034294290224,0.033654402160270123,3.5287394131237484,11.090633294525189,40.636723058759394,12.860462507871189,15.350346443464746,3157.618802401681,306.74252996614246,-54.33706722569784,3410.024265142126,-4.4068513261792416e-08,6.20540389519688e-11,-1.0375707348814938e-07,470.86270926460946,2,67.51500202902557,90.94006166111424,0.0,629.3177729547492,538.377711293635,0.12586355459094983,1.0,V2,0.0016865003370155063,0.20265,111.42377710342407
"kin once-through (1,5,5) n=1 V2 phi=1",kinetic,kinetic,1.0,5.0,5.0,1.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8001677406081317,335.19895198000245,1.8428251041115118,0.0029763728515195265,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.023349349319176,58.71048051903985,9.474003534333212,19.78335677103328,2728.6383640944473,-559.1890628354051,-4.522856992746989,2164.9264442662948,-8.066350528289049e-16,-3.771792854744397e-16,3.5737457437790004e-16,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,1.0,V2,0.0016865003370155063,0.20265,0.4018669128417969
"kin recycle (1,5,5) n=1 V2 phi=1",kinetic,kinetic,1.0,5.0,5.0,1.0,0.05,0.95,0.35,True,398,direct,3600.816300416843,1.203497831408071,0.8730911863828242,27257.31291858941,18308.305395954532,0.2515336860094486,134.27913081746863,19.204988471121737,0.001197577966687513,37.7606739588631,0.0,37.7606739588631,1.8379579863640159,0.1603424896660085,4.5675979145072985,9.6384458665223,35.31582417282324,12.592885055953934,17.728089409162624,3283.910353884535,-9.77834322998612,-48.660573683313444,3225.4714369712356,-3.912998879079105e-08,5.276305704873401e-10,-9.321254214023612e-08,489.6952491656316,2,67.51500202902557,90.94006166111424,0.0,648.1503128557714,557.2102511946572,0.12963006257115428,1.0,V2,0.0016865003370155063,0.20265,152.8213770389557
"kin once-through (1,5,5) n=1.5 V1 phi=0",kinetic,kinetic,1.0,5.0,5.0,0.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8055242606889389,0.0,17.232782442766734,0.018057083869611246,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.02334934931921,58.710480519039976,11.396318244398767,14.128543632865492,2728.6383640944473,313.8140109366329,-43.18481296795421,2999.2675620631258,0.0,7.543585709488794e-16,3.5737457437790004e-16,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,1.5,V1,0.003746391231252261,1.0,0.44853687286376953
"kin recycle (1,5,5) n=1.5 V1 phi=0",kinetic,kinetic,1.0,5.0,5.0,0.0,0.05,0.95,0.35,True,292,direct,3538.413394031094,1.182640960009184,0.8730911863828241,27170.36750293923,18338.246314260177,0.26816877533868355,0.0,98.83647486529611,0.00842492948224094,37.10627351031896,0.4778112829582535,37.584084793277206,1.6613688311098453,0.14493694448405073,4.441270470258141,9.815034968007096,35.962856873451365,12.605323554960963,17.61774440644265,3226.9994944305463,342.7619174420194,-312.6005955043708,3257.160816368195,-4.048235762842167e-08,1.0937319193759311e-10,-9.607440940609044e-08,481.2087271545827,2,67.51500202902557,90.94006166111424,0.0,639.6637908447225,548.7237291836083,0.1279327581689445,1.5,V1,0.003746391231252261,1.0,116.68338680267334
"kin once-through (1,5,5) n=1.5 V1 phi=0.1",kinetic,kinetic,1.0,5.0,5.0,0.1,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.805816472643964,51.44793419870496,15.843494247152591,0.017547296125605683,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.02334934931917,58.71048051903982,11.093119733790031,15.033290768560242,2728.6383640944473,180.25546250418628,-39.689279469894835,2869.204547128739,-9.218686318044627e-16,8.800849994403594e-16,-1.6677480137635334e-15,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,1.5,V1,0.003746391231252261,1.0,0.5469591617584229
"kin recycle (1,5,5) n=1.5 V1 phi=0.1",kinetic,kinetic,1.0,5.0,5.0,0.1,0.05,0.95,0.35,True,303,direct,3566.674725022136,1.1920867211152109,0.8730911863828241,26802.054106957872,17916.996868284044,0.26911822244566985,23.462609045423278,100.12295634378802,0.008538580796539241,37.40264156027274,0.4402766527513272,37.84291821302407,1.9202022476512266,0.167517435836362,4.626433383817202,9.556201594938837,35.01447639594233,12.560446638969067,18.016114059774978,3252.7735605625235,281.9970607015963,-310.97839820729575,3223.792223056824,-3.949755878680286e-08,2.0066214585382875e-10,-9.384156320396642e-08,485.0521444152218,2,67.51500202902557,90.94006166111424,0.0,643.5072081053615,552.5671464442473,0.1287014416210723,1.5,V1,0.003746391231252261,1.0,140.91830396652222
"kin once-through (1,5,5) n=1.5 V1 phi=1",kinetic,kinetic,1.0,5.0,5.0,1.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8231381235372458,353.31352957584465,8.583910237303712,0.014281840019115588,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.023349349319197,58.710480519039926,9.278802734995091,20.623945173411407,2728.6383640944473,-597.3057458180759,-21.46070850535781,2109.8719097710136,-3.4570073692667354e-16,-6.286321424573996e-16,8.338740068817667e-16,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,1.5,V1,0.003746391231252261,1.0,0.566580057144165
"kin recycle (1,5,5) n=1.5 V1 phi=1",kinetic,kinetic,1.0,5.0,5.0,1.0,0.05,0.95,0.35,True,304,direct,4290.6196029046505,1.4340502143624854,0.8730911863828241,16681.01338635046,6439.941377487891,0.4927113276578122,707.1308017346911,50.429775244597295,0.012651018878913178,44.994433036762736,0.0,44.994433036762736,9.071717082907291,0.7914118349879021,9.74244708259462,2.4046881810528657,8.810916839560035,11.212611884282765,29.99391052882566,3913.0044309473487,-1467.0925134989675,-127.44056097956621,2318.471356468815,-9.753280011832458e-09,2.3225279690874045e-10,-2.5102668758620442e-08,583.5054777096261,2,67.51500202902557,90.94006166111424,0.0,741.9605413997659,651.0204797386517,0.1483921082799532,1.5,V1,0.003746391231252261,1.0,142.52267003059387
"kin once-through (1,5,5) n=1.5 V2 phi=0",kinetic,kinetic,1.0,5.0,5.0,0.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.7979257470476779,0.0,7.608748428289175,0.007972700228109364,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.023349349319187,58.71048051903989,11.469246355941737,13.832652409962574,2728.6383640944473,310.853802089688,-18.812098134608796,3020.6800680495267,-5.761678948777892e-16,0.0,-1.0721237231337001e-15,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,1.5,V2,0.003746391231252261,0.45016663581389504,0.5147683620452881
"kin recycle (1,5,5) n=1.5 V2 phi=0",kinetic,kinetic,1.0,5.0,5.0,0.0,0.05,0.95,0.35,True,294,direct,3479.923196168626,1.163091829919443,0.8730911863828239,29011.591576875595,20289.027862302515,0.25136221628889666,-5.684341886080802e-14,47.61527832141411,0.0026187692820447417,36.49290445535819,0.0,36.49290445535819,0.5701885056815912,0.04974294584436717,3.660667521902331,10.90621511062879,39.96100414650424,12.807786657780365,15.81820810833917,3173.6569880830048,339.05658846465496,-120.662733930568,3392.050842617092,-4.460263081043192e-08,4.022252472942274e-11,-1.0468148929644865e-07,473.25431636925856,2,67.51500202902557,90.94006166111424,0.0,631.7093800593983,540.7693183982841,0.12634187601187966,1.5,V2,0.003746391231252261,0.45016663581389504,135.50633025169373
"kin once-through (1,5,5) n=1.5 V2 phi=0.1",kinetic,kinetic,1.0,5.0,5.0,0.1,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8027570036148373,72.4710676344892,6.819394432811578,0.007732799000054857,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.023349349319176,58.71048051903985,11.02661465444016,15.202648762421115,2728.6383640944473,124.44110822648754,-16.854065088750342,2836.2254072321844,-8.066350528289049e-16,-1.8858964273721986e-15,-9.529988650077333e-16,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,1.5,V2,0.003746391231252261,0.45016663581389504,0.5185010433197021
"kin recycle (1,5,5) n=1.5 V2 phi=0.1",kinetic,kinetic,1.0,5.0,5.0,0.1,0.05,0.95,0.35,True,305,direct,3503.7111297747024,1.171042451145324,0.8730911863828242,28653.381788805233,19886.26110545235,0.25263607332979876,21.783162502636344,46.66375040741235,0.0026267642697103133,36.7423613368298,0.0,36.7423613368298,0.8196453828251595,0.07150543282299252,3.8391226959898375,10.65675824353668,39.04697973023111,12.764073366700808,16.20656713046373,3195.351358178328,282.754455851853,-118.24917081329346,3359.8566432168877,-4.429925997640613e-08,1.2821417733204083e-10,-1.0405535963127478e-07,476.48937117419666,2,67.51500202902557,90.94006166111424,0.0,634.9444348643365,544.0043732032223,0.12698888697286728,1.5,V2,0.003746391231252261,0.45016663581389504,141.02380108833313
